runway_id,airport_id,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident,le_latitude_deg,le_longitude_deg,he_ident,he_latitude_deg,he_longitude_deg
250211,11912,52I,2565,100,TURF-G,1,0,9,43.84690094,-84.01629639,27,43.84690094,-84.00650024
242857,18517,K1U2,3300,40,ASPH-G,1,0,2,43.84759903,-112.5059967,20,43.85430145,-112.4970016
243093,21021,KS78,3250,50,ASP,1,0,10,43.85189819,-116.5479965,28,43.84809875,-116.5370026
244699,19128,K8F6,3400,60,ASP,1,0,14,43.85559845,-100.7149963,32,43.84780121,-100.7089996
234982,1795,CYKZ,2694,80,ASP,1,0,3,43.85749817,-79.37083435,21,43.86444473,-79.36722565
234983,1795,CYKZ,3897,100,ASP,1,0,15,43.86439896,-79.37329865,33,43.85559845,-79.36389923
243357,18808,K4B7,3000,60,ASP,0,0,16,43.86600113,-73.7457962,34,43.85919952,-73.73940277
237396,6436,UATE,10013,147,ASP,1,0,12,43.86650085,51.0780983,30,43.85359955,51.10589981
237397,6436,UATE,9630,150,GRE,0,1,12L,43.86740112,51.07690048,30R,43.85309982,51.10760117
241649,3654,KLSE,5299,150,ASP,1,0,4,43.86999893,-91.25980377,22,43.88169861,-91.24790192
234495,1448,CPR7,4000,75,ASP,1,0,13,43.87080002,-81.30470276,31,43.86529922,-81.29190063
242132,18807,K4B6,4040,60,ASP,1,0,2,43.87170029,-73.41349792,20,43.88280106,-73.41300201
242094,19053,K7D3,2800,100,GRS,0,0,5,43.87350082,-85.85050201,23,43.87870026,-85.84269714
242095,19053,K7D3,3800,75,ASP,0,0,9,43.87540054,-85.84600067,27,43.87469864,-85.83159637
245894,3729,KNHZ,8000,200,ASP,1,1,01L,43.88119888,-69.93869781,19R,43.90309906,-69.9414978
245893,3729,KNHZ,8000,200,ASP,1,0,01R,43.88140106,-69.93609619,19L,43.90330124,-69.938797
242922,20994,KS21,5455,70,ASP,1,0,18,43.88349915,-121.4499969,36,43.86909866,-121.4560013
245781,19721,KECS,2220,50,GRS,0,0,5,43.88439941,-104.3249969,23,43.88750076,-104.3180008
241650,3654,KLSE,6050,150,ASP,1,0,13,43.88479996,-91.26490021,31,43.87319946,-91.24849701
245783,19721,KECS,2666,40,GRS,0,0,17,43.88890076,-104.3190002,35,43.88159943,-104.3190002
245782,19721,KECS,5300,75,CON,1,0,13,43.89120102,-104.3219986,31,43.87950134,-104.3099976
237213,5548,RJCM,8202,150,ASP,1,0,18,43.89179993,144.1629944,36,43.86940002,144.1649933
240165,19179,K9C8,3800,75,ASP,1,0,6,43.89199829,-85.28649902,24,43.89810181,-85.27480316
241651,3654,KLSE,8537,150,CON,1,0,18,43.89319992,-91.2589035,36,43.86980057,-91.25859833
244418,3857,KRST,7300,150,CON,1,0,2,43.89490128,-92.50689697,20,43.91279984,-92.49459839
235185,27236,ZWWW,11811,148,CON,1,0,7,43.90250015,87.45269775,25,43.9117012,87.4957962
246231,1649,LY88,10130,148,ASP,0,0,11,43.90299988,19.67930031,29,43.89479828,19.7159996
241730,20918,KRCT,4506,100,ASP,0,0,17,43.90620041,-85.51670074,35,43.89379883,-85.51670074
256227,12617,5P5,3350,150,TURF-GRVL-G,1,0,10,43.9070015,-100.0419998,28,43.90449905,-100.0299988
241314,21267,KU62,4400,60,ASP,0,0,12,43.90919876,-113.6080017,30,43.90060043,-113.5960007
236015,4068,LFBM,11821,148,PEM,1,0,9,43.91070175,-0.531777978,27,43.91230011,-0.486963987
235855,4081,LFCI,5118,98,ASP,1,0,9,43.9131012,2.100939989,27,43.91329956,2.120379925
235991,4163,LFMV,6168,148,ASP,1,0,17,43.91559982,4.899559975,35,43.89899826,4.904079914
254675,25230,U87,4900,150,TURF-G,0,0,14,43.91790009,-114.8000031,32,43.90679932,-114.7929993
244887,20584,KMWM,3599,75,ASP,1,0,17,43.91830063,-95.10939789,35,43.90850067,-95.10939789
235051,1837,CYOO,2654,100,ASP,1,0,5,43.91970062,-78.89749908,23,43.92610168,-78.89250183
244419,3857,KRST,9033,150,CON,1,0,13,43.92020035,-92.51210022,31,43.9034996,-92.48670197
235052,1837,CYOO,4000,100,ASP,1,0,12,43.92440033,-78.90390015,30,43.92079926,-78.88939667
243740,14229,7MI4,3370,60,ASPH,1,0,18,43.92679977,-82.74939728,36,43.91770172,-82.74770355
343455,343454,8WY6,5000,75,GRS,0,0,17,43.93190002,-107.2975006,35,43.92219925,-107.2917023
240097,19038,K77S,3101,60,ASP,1,0,15,43.93500137,-123.0070038,33,43.92649841,-123.0059967
252425,25224,U61,4450,100,TURF-F,0,0,3,43.93790054,-114.112999,21,43.94950104,-114.1080017
240555,3947,KVOK,9000,150,CON,1,0,9,43.93899918,-90.27020264,27,43.93939972,-90.23609924
243528,19122,K8D1,2970,250,GRS,0,0,4,43.94070053,-88.12010193,22,43.94710159,-88.11299896
241213,21254,KU12,4500,50,ASP,1,0,4,43.94250107,-111.6910019,22,43.94889832,-111.677002
243529,19122,K8D1,3600,75,ASP,1,0,14,43.94810104,-88.11769867,32,43.94039917,-88.10919952
242960,19519,KCMY,4295,50,ASP,1,0,1,43.9510994,-90.74019623,19,43.96250153,-90.73590088
240868,25914,WS20,4100,60,GRVL,0,0,11,43.95780182,-90.67420197,29,43.95470047,-90.66169739
241871,20197,KIWI,3397,75,ASP,1,0,7,43.95849991,-69.71759796,25,43.96429825,-69.70749664
256142,20328,KLDM,3503,75,ASPH-G,0,0,1,43.95920181,-86.41300201,19,43.96879959,-86.41259766
256143,20328,KLDM,5003,75,ASPH-G,0,0,8,43.95930099,-86.41349792,26,43.96369934,-86.39550018
241827,18953,K63C,2825,100,GRS,0,0,8,43.96030045,-89.79260254,26,43.96170044,-89.78019714
243047,3953,KWRL,2240,60,GRS,0,0,4,43.96089935,-107.9499969,22,43.96429825,-107.9430008
242961,19519,KCMY,4708,100,ASP,1,0,11,43.9620018,-90.74510193,29,43.95729828,-90.72940063
241828,18953,K63C,3400,60,ASP,1,0,15,43.96549988,-89.79260254,33,43.9571991,-89.78669739
243048,3953,KWRL,2501,60,GRS,0,0,10,43.96760178,-107.9520035,28,43.96440125,-107.9440002
258031,26062,WY00,5000,75,ASPH,0,0,10,43.97040176,-107.3880005,28,43.96500015,-107.3710022
241986,19937,KGDW,2500,150,GRS,0,0,15,43.97140121,-84.47859955,33,43.96490097,-84.4756012
241985,19937,KGDW,4700,75,ASP,1,0,9,43.97169876,-84.48290253,27,43.97230148,-84.46499634
244239,21427,KY72,3900,75,ASP,1,0,7,43.97380066,-90.48819733,25,43.97800064,-90.47460175
243049,3953,KWRL,7005,100,ASP,1,0,16,43.9762001,-107.9540024,34,43.95700073,-107.9520035
330005,330004,US-1056,2500,50,ASP,1,1,9,43.97991562,-83.97908783,27,43.97865295,-83.9695816
244240,21427,KY72,2210,200,GRS,0,1,18,43.98059845,-90.48609924,36,43.97449875,-90.48609924
243305,20863,KPQN,2539,221,GRS,0,0,9,43.98460007,-96.30570221,27,43.9836998,-96.2960968
264035,29430,LILQ,2461,59,GRS,0,0,5,43.98461151,10.14148045,23,43.98750687,10.14642811
243361,3757,KOSH,8002,150,CON,1,0,18,43.9858017,-88.55639648,36,43.96379852,-88.55670166
244684,19010,K6S2,2916,60,ASP,1,0,15,43.98669815,-124.112999,33,43.97890091,-124.1100006
243358,3757,KOSH,3424,75,ASP,0,0,4,43.98669815,-88.5582962,22,43.99330139,-88.54910278
235178,27237,ZYCC,10500,148,CON,1,0,6,43.98680115,125.6699982,24,44.00559998,125.6999969
243306,20863,KPQN,4302,75,ASP,1,0,18,43.98690033,-96.29959869,36,43.97510147,-96.30059814
245478,3383,KART,5000,150,ASP,1,0,7,43.9878006,-76.0298996,25,43.99599838,-76.01470184
242790,19671,KDVP,2773,60,ASP,1,0,17,43.99029922,-95.7818985,35,43.98270035,-95.78250122
242085,20229,KJYG,4000,75,ASP,1,0,15,43.99100113,-94.5617981,33,43.98160172,-94.55400085
243360,3757,KOSH,3060,75,ASP,0,0,13,43.99119949,-88.55970001,31,43.98590088,-88.55069733
243359,3757,KOSH,6178,150,ASP,1,0,9,43.99160004,-88.57209778,27,43.99150085,-88.54869843
245479,3383,KART,5000,150,ASP,1,0,10,43.99229813,-76.03070068,28,43.99160004,-76.01170349
241120,20202,KIZG,4200,75,ASP,1,0,14,43.99440002,-70.95490265,32,43.98770142,-70.94190216
235940,4084,LFCM,5577,98,ASP,1,0,14,43.99539948,3.176529884,32,43.98329926,3.189460039
252435,13882,76B,15000,3960,WATER,0,0,16W,44.00114822,-70.63906097,34W,43.97267914,-70.59789276
256187,6966,08B,1935,100,TURF-G,1,0,14,44.00170135,-69.88999939,32,43.99829865,-69.88430023
243231,19017,K6V4,3500,60,ASP,1,0,12,44.00289917,-102.2590027,30,43.99610138,-102.25
244310,18842,K4P3,3100,60,ASP,1,0,10,44.00519943,-96.59870148,28,44.00249863,-96.58750153
239731,6633,01WI,2300,120,TURF,0,0,1,44.00559998,-90.39050293,19,44.01179886,-90.3891983
240544,9868,2WN5,2500,100,TURF,0,0,11,44.00719833,-90.02380371,29,44.00550079,-90.01470184
245987,20489,KMDS,2600,200,GRS,0,0,3,44.01150131,-97.08730316,21,44.01750183,-97.08170319
240196,21210,KTOB,2390,200,GRS,0,0,4,44.01670074,-92.83830261,22,44.02109909,-92.8321991
348576,348575,US-5478,,,,0,0,14,44.02138901,-114.8411407,32,44.01483154,-114.8378906
